%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1406123642454591035,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642464646100,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642474756956,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642484646081,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642494755983,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642504976034,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642514810085,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642524667024,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642534516096,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642544517040,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642554585933,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642564557075,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642575052976,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642584791898,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642594757080,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642604620933,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642614711999,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642625142097,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642635061025,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642644954919,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642654848098,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642664658069,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642675056934,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642684834003,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642694775104,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642704637050,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642715087890,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642724842071,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642734493970,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642744560003,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642754446029,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642764503955,0.0,0.0,0.0,1.0,1.0,19.7205200573
1406123642774774074,0.0,0.0,0.0,1.0,1.0,19.7205200573
